Year,Software Version,Patient County,PQI Number,PQI Name,"Observed Rate Per 100,000 People","Expected Rate Per 100,000 People"
2015,5.0,Statewide,PQI_01,Diabetes Short-Term Complications,64.12,64.12
2015,5.0,Albany,PQI_01,Diabetes Short-Term Complications,49.57,59.32
2015,5.0,Allegany,PQI_01,Diabetes Short-Term Complications,13.21,48.12
2015,5.0,Bronx,PQI_01,Diabetes Short-Term Complications,118.17,88.11
2015,5.0,Broome,PQI_01,Diabetes Short-Term Complications,80.22,50.94
2015,5.0,Cattaraugus,PQI_01,Diabetes Short-Term Complications,18.12,54.25
2015,5.0,Cayuga,PQI_01,Diabetes Short-Term Complications,82.33,51.64
2015,5.0,Chautauqua,PQI_01,Diabetes Short-Term Complications,84.99,48.97
2015,5.0,Chemung,PQI_01,Diabetes Short-Term Complications,85.66,54.5
2015,5.0,Chenango,PQI_01,Diabetes Short-Term Complications,49.19,47.26
2015,5.0,Clinton,PQI_01,Diabetes Short-Term Complications,112.79,53.25
2015,5.0,Columbia,PQI_01,Diabetes Short-Term Complications,61.53,49.81
2015,5.0,Cortland,PQI_01,Diabetes Short-Term Complications,61.61,50.38
2015,5.0,Delaware,PQI_01,Diabetes Short-Term Complications,26.71,47.37
2015,5.0,Dutchess,PQI_01,Diabetes Short-Term Complications,41.98,58.82
2015,5.0,Erie,PQI_01,Diabetes Short-Term Complications,78.81,60.27
2015,5.0,Essex,PQI_01,Diabetes Short-Term Complications,28.46,49.7
2015,5.0,Franklin,PQI_01,Diabetes Short-Term Complications,21.68,73.6
2015,5.0,Fulton,PQI_01,Diabetes Short-Term Complications,102.8,47.79
2015,5.0,Genesee,PQI_01,Diabetes Short-Term Complications,44.95,51.75
2015,5.0,Greene,PQI_01,Diabetes Short-Term Complications,71.09,52.27
2015,5.0,Hamilton,PQI_01,Diabetes Short-Term Complications,24.62,45.83
2015,5.0,Herkimer,PQI_01,Diabetes Short-Term Complications,47.49,46.01
2015,5.0,Jefferson,PQI_01,Diabetes Short-Term Complications,45.77,56.14
2015,5.0,Kings,PQI_01,Diabetes Short-Term Complications,72.3,82.84
2015,5.0,Lewis,PQI_01,Diabetes Short-Term Complications,43.27,46.66
2015,5.0,Livingston,PQI_01,Diabetes Short-Term Complications,49.64,50.88
2015,5.0,Madison,PQI_01,Diabetes Short-Term Complications,72.85,48.98
